employee_id,fname,sname,salary,position,ssn,address_id,branch_id
250376367,Samuel,Lopez,$145k,Analyst,763528064,540676077,530
170807634,Mark,Jenkins,$95k,Investor,939098915,471084050,530
187457113,Michelle,Jenkins,$35k,Advisor,617290057,355352765,530
242432930,Kevin,Ward,$285k,Asset Manager,87950704,644521135,530
358405349,Jason,Lopez,$55k,Branch Manager,561199679,702394823,530
87869531,Jason,Barnes,$215k,Investment Representative,483683417,796931148,530
12867779,Heather,Patterson,$65k,Security,944000166,660883474,530
280929717,Sofia,Gonzales,$45k,Bank Teller,669552250,960836317,330
141029216,Haley,James,$125k,Banker,16770851,780751712,330
55899001,Victoria,Rivera,$75k,Processor,410962102,476910714,330
354318471,Samuel,Adams,$85k,Analyst,626482187,508627426,330
266816632,Emily,Sanders,$285k,Investor,449789331,241585788,330
10989525,Joseph,Wright,$185k,Advisor,842471770,291736224,330
144014347,Alexander,Rodriguez,$285k,Asset Manager,785640041,651604756,330
140104199,Alexander,Patterson,$145k,Branch Manager,203434957,804074418,330
88697424,Kimberly,Barnes,$185k,Investment Representative,40477421,851656126,330
53379671,Aiden,Jackson,$185k,Security,194107520,371368508,330
64389112,Rachel,Flores,$245k,Bank Teller,217565245,333829628,827
250966976,Isaac,Powell,$215k,Banker,797820656,187373849,827
285477577,Elizabeth,Walker,$185k,Processor,331455676,306124177,827
276143258,Eleanor,Brown,$55k,Analyst,586804104,999429465,827
264562279,Abigail,Brooks,$75k,Investor,20032786,284337519,827
188221579,Taylor,Bennett,$55k,Advisor,9498377,654130349,827
212837710,Tiffany,Jones,$285k,Asset Manager,480889729,744719834,827
419075254,Nicholas,Jenkins,$105k,Branch Manager,680685267,176131435,827
342258893,Grace,Brooks,$145k,Investment Representative,746108504,693411936,827
203907164,Samuel,Allen,$55k,Security,184762122,418263425,827
313052460,Sebastian,Brown,$95k,Bank Teller,896479765,942103466,902
357960335,Anthony,Perry,$85k,Banker,364742974,642906186,902
89480461,Evelyn,Hall,$45k,Processor,415885302,997535519,902
290313653,Ashley,Brooks,$75k,Analyst,618580921,354081058,902
240867556,Nicole,Hughes,$65k,Investor,137371110,822139869,902
41242223,Audrey,Parker,$125k,Advisor,420051552,504539400,902
251076272,John,Evans,$45k,Asset Manager,483683844,275644287,902
306913739,David,Ramirez,$185k,Branch Manager,259356888,780661087,902
138219290,Megan,Jackson,$65k,Investment Representative,394482798,921798434,902
136134851,Tiffany,Johnson,$245k,Security,295365374,935699187,902
72913812,Natalie,Gray,$55k,Bank Teller,533009923,827896165,658
188447028,Zachary,King,$45k,Banker,458082443,289658397,658
425735342,Sara,Mitchell,$165k,Processor,460153903,352838743,658
245057137,Laura,Perez,$75k,Analyst,869139197,922485026,658
333549930,Aiden,Johnson,$145k,Investor,442367487,980419582,658
352344075,Dylan,Campbell,$45k,Advisor,546750195,576661604,658
404965963,Danielle,Wright,$215k,Asset Manager,133382460,677960971,658
323772369,Sara,James,$65k,Branch Manager,30877271,594769702,658
935059,Stephen,Lewis,$125k,Investment Representative,789756955,180359604,658
48955227,Andrew,Simmons,$245k,Security,646573570,889082054,658
213427147,Jessica,Collins,$55k,Bank Teller,63077991,463143106,239
74636810,Victoria,Adams,$145k,Banker,428775392,973885311,239
14428001,Ava,Allen,$245k,Processor,485782082,406420291,239
40266357,Aubrey,Jackson,$105k,Analyst,758050126,729431148,239
297069687,Matthew,Campbell,$185k,Investor,469513874,464170040,239
178975819,Layla,Carter,$95k,Advisor,197492242,405960269,239
79296148,Brianna,Ward,$165k,Asset Manager,290951811,820179670,239
27022231,Evelyn,Bailey,$285k,Branch Manager,61368471,797866280,239
103011052,Kevin,Hall,$105k,Investment Representative,160904948,122786634,239
130253321,Emma,Green,$285k,Security,253401962,477770512,239
100464115,Alexander,Torres,$75k,Bank Teller,100397036,159937872,560
398375202,Amelia,Ross,$105k,Banker,295399283,655300560,560
65869640,Brittany,Morgan,$165k,Processor,589805985,255791645,560
410370028,Katherine,Cox,$45k,Analyst,796567381,430164712,560
161477262,Tiffany,Washington,$105k,Investor,694250682,963832178,560
103543130,Elizabeth,Bryant,$285k,Advisor,273178056,668697187,560
302630317,Amanda,Hill,$85k,Asset Manager,161406607,151390186,560
343247697,Heather,James,$45k,Branch Manager,383486192,190448657,560
96243255,Evelyn,Collins,$215k,Investment Representative,68441716,988319639,560
312470521,Maria,Parker,$125k,Security,704599132,424086178,560
222822113,Daniel,Stewart,$245k,Bank Teller,474730194,165287566,975
403529617,Amber,Ward,$95k,Banker,164767606,470093979,975
326113697,Kevin,Martin,$215k,Processor,475066470,236538463,975
27294896,Isabella,Lewis,$95k,Analyst,58718080,242184958,975
283210834,Jeremy,Young,$125k,Investor,241399006,985049828,975
82768630,Joseph,Alexander,$165k,Advisor,888281205,960193675,975
374024105,Amelia,Evans,$125k,Asset Manager,16739318,833569823,975
134928966,Justin,Cox,$45k,Branch Manager,144881327,527056682,975
254834177,Megan,Phillips,$145k,Investment Representative,160164815,110287916,975
390187976,John,Brooks,$245k,Security,862862973,886286950,975
33263516,Emily,Rivera,$85k,Bank Teller,957373696,719651515,272
279240935,Sean,Rogers,$55k,Banker,790372360,507284582,272
268569231,Andrew,Patterson,$185k,Processor,494439680,389679707,272
303222442,Jason,Allen,$285k,Analyst,3438093,382210297,272
286476928,Tyler,Russell,$45k,Investor,731480926,201938723,272
348961810,Jonathan,Davis,$125k,Advisor,901136913,442148142,272
12765466,Joshua,Morgan,$105k,Asset Manager,534402795,716348794,272
44081100,Sara,Simmons,$55k,Branch Manager,765866654,363405700,272
343398363,Aubrey,Harris,$65k,Investment Representative,546007226,651415684,272
380685265,Patrick,Smith,$245k,Security,355829678,638060694,272
227439491,Evelyn,Kelly,$65k,Bank Teller,979245449,780364557,406
429351722,Jasmine,Cook,$55k,Banker,53004056,106883513,406
81706044,Nathan,Cooper,$245k,Processor,214523592,877608551,406
199938376,Ryan,Reed,$55k,Analyst,623585363,444598644,406
256952050,Justin,Howard,$85k,Investor,52342596,229040587,406
85378899,Christina,Foster,$55k,Advisor,107710999,674560898,406
352696189,Stephanie,Anderson,$55k,Asset Manager,457322682,892095613,406
295216539,Sean,Rodriguez,$285k,Branch Manager,78954235,580422544,406
327769219,Isaac,Rivera,$245k,Investment Representative,921510552,600231497,406
230007244,Audrey,Ward,$85k,Security,105036665,348964673,406
170216381,Jose,Hernandez,$145k,Bank Teller,153926132,295529391,903
66326017,Jeremy,Morris,$35k,Banker,648592096,408732678,903
378633727,Samuel,Martin,$45k,Processor,138174140,339426332,903
407692033,Brianna,Richardson,$105k,Analyst,445564714,400947096,903
338969862,Gabriel,Diaz,$35k,Investor,285017880,221400422,903
202705454,Anna,Murphy,$185k,Advisor,661270997,843491567,903
167303805,Lillian,Mitchell,$165k,Asset Manager,526735051,488872070,903
194861618,Ryan,Rivera,$285k,Branch Manager,135464019,711187828,903
378374388,Anna,Howard,$85k,Investment Representative,518627923,721903890,903
269603184,William,Long,$45k,Security,679165364,276926631,903
179847186,Joshua,Cox,$245k,Bank Teller,255957196,147131233,291
50174990,Joshua,Lewis,$245k,Banker,411591955,485692394,291
55287969,Steven,Wilson,$45k,Processor,948407565,857126858,291
324507200,Austin,Diaz,$45k,Analyst,128341254,881935390,291
51910136,Timothy,Scott,$105k,Investor,949573250,256486378,291
353863595,Kimberly,Long,$55k,Advisor,350476317,950911193,291
83020954,Melissa,Thompson,$65k,Asset Manager,985573307,684970097,291
211118984,Emily,Scott,$35k,Branch Manager,358257629,116700963,291
68456284,Brittany,Morgan,$105k,Investment Representative,218584311,259522393,291
420130347,Sophia,Anderson,$55k,Security,54926483,523153533,291
129279380,Alyssa,Wilson,$185k,Bank Teller,983634455,397501158,214
77699107,Natalie,Martin,$55k,Banker,527651762,762613792,214
272965600,Olivia,Gray,$245k,Processor,179738234,363543972,214
272381611,Owen,Torres,$65k,Analyst,994446567,479054264,214
31046598,Allison,Perry,$105k,Investor,453228829,633332067,214
254382502,Aaron,Foster,$105k,Advisor,250318649,699983029,214
75157987,Kayla,Washington,$185k,Asset Manager,66371286,793695867,214
203814573,William,Campbell,$165k,Branch Manager,200772306,383192236,214
284652016,Kelsey,Jackson,$35k,Investment Representative,639459508,735628709,214
80419768,Matthew,Rodriguez,$95k,Security,250925450,422632261,214
375156633,Michelle,Murphy,$285k,Bank Teller,172692577,364337165,429
352460109,Charlotte,Wilson,$75k,Banker,308346348,485359860,429
6945250,Joshua,Parker,$215k,Processor,405637450,808305275,429
305456580,Kimberly,Johnson,$45k,Analyst,270202025,555254658,429
135942955,Melissa,Griffin,$45k,Investor,721316557,867669705,429
161995495,Danielle,Taylor,$215k,Advisor,28412411,268407061,429
182159296,Zachary,Kelly,$95k,Asset Manager,51940805,289084925,429
381370397,Alexis,Cooper,$245k,Branch Manager,271778644,476812046,429
380026607,Charlotte,Ward,$185k,Investment Representative,626011498,519515237,429
318511535,Melissa,Taylor,$65k,Security,697918081,390978850,429
236286224,Haley,Griffin,$185k,Bank Teller,265206170,338481294,799
90878017,Danielle,White,$65k,Banker,205036766,741061121,799
410284886,Christina,Powell,$285k,Processor,162430301,655015203,799
101584186,Steven,Lee,$285k,Analyst,511869074,594950828,799
317003261,Alyssa,Gonzales,$65k,Investor,838180148,249944060,799
281952372,Aiden,Jenkins,$215k,Advisor,926170945,748136771,799
341599104,Danielle,Diaz,$165k,Asset Manager,21327757,948945423,799
22149517,Alyssa,James,$185k,Branch Manager,89360833,171486485,799
338910117,Katherine,Turner,$85k,Investment Representative,592036477,941031146,799
405767429,Katherine,Carter,$285k,Security,213560449,756147855,799
404067827,Chelsea,Walker,$145k,Bank Teller,471100931,516946938,692
142843415,Samuel,Taylor,$215k,Banker,549120692,533531669,692
249589888,Danielle,Walker,$55k,Processor,806847034,862065338,692
138330073,Gabriel,Bell,$85k,Analyst,25251796,395413389,692
378351350,Mateo,Simmons,$165k,Investor,146312273,964281685,692
314412278,Ethan,Hill,$245k,Advisor,145174740,727501120,692
383248178,Emma,Morris,$35k,Asset Manager,139782602,860356758,692
228460059,Maria,Bennett,$55k,Branch Manager,613493554,201013965,692
346543077,Gabriel,Torres,$125k,Investment Representative,575979762,282659203,692
406348151,Mary,Green,$35k,Security,887990112,557865571,692
327902986,Oliver,Bailey,$215k,Bank Teller,257551468,670868069,151
227574384,Kimberly,Brown,$285k,Banker,374510008,281025350,151
351643070,Oliver,Watson,$245k,Processor,993188119,279250757,151
128684640,Richard,Bennett,$35k,Analyst,806390416,126291124,151
282002322,Mary,Bailey,$165k,Investor,940422746,827435113,151
354216002,Katherine,Cox,$65k,Advisor,238957634,220222970,151
73295348,Sean,Wood,$35k,Asset Manager,364451385,577246971,151
251700538,Julian,Jones,$35k,Branch Manager,610562618,467461524,151
183503887,Taylor,Griffin,$45k,Investment Representative,703865015,213748102,151
118711321,Samantha,Richardson,$125k,Security,292551997,155146584,151
