account_num,account_name,balance,branch_id,type,customer_id
997932784,ehaselwoodx,7681.33,658,savings,285741982
867394576,hknudseng,8072.18,104,checking,381516159
563632187,glindenfeld6a,8614.3,500,savings,22462778
327024442,jstuartbb,9182.84,827,checking,272017513
923052157,akondratenyafr,9324.57,560,checking,329500215
305377496,cderrettjm,9456.81,902,checking,429075549
667880114,cbraniffa0,9766.04,239,savings,378633727
853667376,mabrahamowitczhx,11021.57,827,checking,387326029
272649612,dkubispe,11160.24,291,checking,189147
662433320,ktimnyg2,11300.45,903,savings,369014794
294863226,rlocheadhi,11472.71,214,savings,103724703
114212668,landreasen2v,11875.83,291,checking,285477577
504380362,tdottrello7,11976.44,500,checking,375458840
908602862,arubi9b,12633.85,406,checking,343877252
479156030,afoundj4,13118.88,903,savings,406391326
617922179,jwholesworthd5,13455.75,239,checking,52665348
122830459,cgoodsalqc,15172.28,658,checking,366449859
769895689,nmeyrickkb,16167.39,429,savings,111406564
753337085,balsfordl9,17868.23,658,savings,175012328
503568477,jtrendlege,18641.68,815,savings,37763119
605803757,gsegoqk,19347.43,214,savings,425870848
194267575,gtelferi5,19409.36,530,checking,64941075
505354467,cbooijp0,19732.01,815,savings,86511169
924528683,epevsnerno,21643.84,104,checking,234172323
944942829,pjurges1r,22375.55,530,checking,130965258
558331177,jsherrocks3v,22775.62,239,checking,103011052
411968848,rbertramf5,22873.55,406,checking,275314588
656493179,pcretneyrl,23234.28,692,savings,118218169
333595107,wdreuspj,23271.46,151,savings,275047434
579671197,fgrellier9d,23439.16,975,savings,390187976
306169262,wcoule2q,25371.69,799,savings,420110950
493646551,lpittfordd7,25427.16,799,savings,74865868
799095877,achamp6v,25451.07,429,checking,73295348
320352251,jlomathmw,25478.65,429,checking,44232023
832923604,smilillo5b,25496.58,530,savings,206893753
160075479,sphilippson9l,26058.13,692,checking,44081100
627938249,abrookn0,26669.13,608,checking,47094838
576933790,gankers2g,26811.61,658,checking,141861776
307857689,bvondra2u,27982.65,903,savings,250966976
304783021,aesslementq2,28084.49,214,checking,226572527
576264061,remmetcl,28110.89,903,checking,73401756
689572175,cbuckellkt,28469.5,429,savings,149655419
981031891,fwerrilowb7,28538.09,844,savings,418663158
484135850,clotheanl2,28551.25,815,savings,221122532
306849618,chaggis7c,29431.51,239,checking,291761569
281060753,dkarolczyk68,29654.71,272,savings,246892591
145765549,bdanido,29860.18,104,checking,118553865
705784127,mgriswooda3,29908.43,272,checking,202705454
986893989,csteggalsnb,30172.05,902,money market,201167158
828754587,apettycw,30750.54,949,checking,138866089
224313796,ksincock9,30962.59,903,savings,283209098
632392778,gwilloughleya5,32180.1,949,checking,210489874
953996026,stomekf1,32232.59,239,checking,22975084
659870577,hkinchleaoc,32316.94,844,checking,364561578
582187307,eantonichhj,33743.93,429,savings,264566690
622828823,wavrahamed,33776.9,104,savings,314690901
665601099,vleafeji,34187.79,406,savings,165940942
922551529,wgofton75,34245.1,844,savings,292720523
614528801,amccumesky5d,34266.51,827,money market,104105997
141417455,dovergv,34533.44,658,checking,362233358
548220233,nduckerin2,34989.62,844,savings,77169195
108648426,ezimmermanns2r,35171.73,975,checking,88697424
813271997,pmcchruiterj8,35453.34,799,checking,219070051
479228053,fwelfair4q,36259.64,291,checking,380685265
919917532,kbraznellek,36969.86,429,savings,248305647
751175118,mhiskeyaj,37807.59,975,savings,77699107
963364884,chultbergde,38052.63,799,savings,170068647
861474800,jfeaviour9l,38151.39,827,checking,197363210
753726431,hrackley34,38788.15,778,savings,357960335
362667217,socoskerryq4,39252.88,799,checking,197791849
813832187,kgutridgerk,40855.51,799,savings,271633346
738478171,gbeche7z,41460.83,975,savings,203907164
140129774,ajaquisspd,41762.35,903,checking,413727342
958787679,ltidymx,42439.56,799,savings,305733698
256120750,vupsale2i,42466.02,844,savings,12867779
734580525,bmorcombef,42574.48,291,checking,88315574
428712718,htustingu,42699.56,902,savings,271672396
866274828,rglanvillen9,43322.89,330,savings,158350751
714026323,isturgess7j,44140.16,214,checking,158200226
346516919,ccoklynw,44176.85,975,savings,218617259
983502759,jbickerdicke6s,44647.95,903,checking,128684640
894544860,pburfieldql,45504.93,429,checking,161190597
150581522,emelladewes,45887.32,949,savings,23030924
817667255,amcgonnelljz,45953.9,330,savings,284207970
555791598,lschlagmanil,46366.93,151,checking,118553865
681649615,sbycraftbo,46447.57,692,savings,14727242
204553542,lminithorpe5f,46490.63,291,savings,51910136
329112345,afarquharsonox,46871.49,849,savings,83646922
507964135,fgrowy2j,47283.8,104,checking,280929717
133591584,tyounie32,48315.05,214,savings,306931217
760108734,tkalkerag,48983.37,658,checking,68456284
296646209,aclayhillrd,49208.58,151,savings,370702194
846822436,mrohlfing7i,49601.84,291,savings,212811
118057680,phelsby13,49730.73,903,checking,154439399
784592150,vramsteadx,49770.56,151,checking,173908548
288712102,wnoyeh5,49984.16,104,checking,230980305
168123333,rbertlingo,50270.41,815,savings,336607062
898018850,crothman16,50578.92,530,savings,209822112
741032697,fible0,50635.01,330,checking,208346334
378357445,rgajewskiff,51285.8,214,checking,368737193
469991611,ydimbleby15,51366.43,104,checking,55351750
340920303,eciccotto1g,51567.7,903,savings,107145975
443914309,ebrobeckjm,51954.26,429,checking,96243342
988083840,ldouchqd,52866.52,949,checking,165764125
257907175,jrichter2a,53187.33,692,checking,170098949
737390604,kgartellmn,53307.19,658,savings,7107376
834346617,lfourcadean,53324.42,291,checking,254382502
400068727,kattockj5,53843.02,291,checking,118374673
767893485,haylen4r,54466.85,214,savings,227439491
485295585,lstegell99,55428.41,902,checking,82768630
735642034,lkaspar73,56152.14,530,savings,1429321
388820844,hwellumfn,56612.2,778,savings,230944420
695429579,ekumaarel,56621.01,799,checking,20262993
974852080,uduffreef3,57219.42,530,savings,146389862
184673873,wmalarkey9k,57909.21,330,certificate of deposit,157665057
422333581,glangloisck,58079.87,406,savings,234524123
582156308,ldhooghe25,58101.79,903,checking,83146678
332695319,hcroninl5,58285.1,530,checking,331986780
404204404,rcarreckpn,60407.94,778,savings,132322591
688176752,iwinsborrowlz,61430.57,239,savings,11116793
365506601,tcrane90,61682.75,849,checking,302630317
596508291,obruqs,62180.2,291,savings,209229730
608149659,sclapison40,62403.36,902,savings,429297622
882313727,ibarkworthqj,63371.72,827,savings,304360447
391627599,grobillart6y,63700.5,429,checking,286467332
988589848,fgallichannf,64234.08,975,savings,209052663
252873462,rjaher30,64318.43,151,checking,419075254
585490725,nloveredge5a,65210.32,560,savings,269603184
210071875,psamarth3,65492.03,658,checking,105078838
618490793,pmerrettak,65788.82,272,checking,272965600
189043130,dtollet5v,66404.34,827,savings,375156633
233993574,rbenez39,66794.12,330,checking,230482037
617896147,nkuhwaldrh,66816.46,778,savings,394661145
451527623,gprovenet,67535.91,815,checking,279129138
877516552,mgriffey81,68059.97,239,checking,328483830
319910538,fcraythorne4x,68122.76,291,checking,285346229
581063268,pfressonm4,69465.11,903,savings,310429227
858576682,zrennison9q,69897.34,975,savings,163044429
739832859,cgrundeyg6,70029.03,799,savings,235726014
633947620,cmcfallr0,70131.33,902,savings,131971289
524766274,swheowall1z,70765.86,272,money market,218617259
635468662,sdorieiu,70871.4,903,savings,376401489
322327177,lklossaf,71034.1,902,savings,211118984
844114710,sgaitskellp3,71059.82,530,savings,146191536
237732570,acantwellhh,71219.63,291,checking,183206138
487565305,sgiannottim6,71455.14,214,savings,136172648
402284937,rdarguemh,72901.16,844,checking,392155686
264615158,epenhaligon3l,73464.57,778,savings,935059
690532954,avallerinear,73892.59,500,savings,252674450
766026074,tdeelay2q,73971.16,560,savings,140104199
462338594,ohargreave5m,74015,500,savings,77699107
328041229,nwallbrookps,74942.22,530,checking,352421440
734527806,nmohringd4,75360.53,291,checking,121390522
804326468,ecallum5s,75368.94,608,checking,226095770
346727508,pmcgeouchnl,75599.86,949,savings,166510727
839860207,ctoejn,76275.3,799,savings,158119343
137356044,eantoniatgn,76830.35,949,checking,339326025
449866252,mvitetky,77070.31,500,checking,102177341
951602341,bgyorffy27,77725.95,151,savings,124200601
569668458,rleachmanl7,78498.02,827,checking,369803921
885140508,cdysart3y,79435.83,272,checking,398375202
633987494,zsalzberggf,79761.61,429,savings,239588735
942575599,sboocock2o,79812.48,214,savings,6702459
247230636,dcromb9u,79938.18,291,checking,371152095
258143581,bpoundfordv,80332.21,799,checking,292633147
916503498,pmasseld0,83615.22,530,savings,60500587
461815913,fandreolliej,84378.76,214,savings,255767319
626741689,jreace4w,85174.71,903,savings,160965900
928173595,hskoggins4v,85950.93,406,checking,149186309
785670407,hattrilng,86617.71,272,checking,77169195
899490347,lmaccoll7y,87062,560,checking,342258893
349240214,rhinchshawnq,87123.44,330,checking,261193810
979609118,adjurkovice9,87660.65,778,checking,273117740
129444843,eheppnerdh,88043.59,608,savings,239455541
535580751,gduxbarryjq,89012.14,608,savings,420110950
277612408,cdowsett6x,89133.3,214,savings,347111144
381920983,lpapaminaslr,89303.83,815,checking,278906423
746474848,mwilbore6r,90992.26,560,savings,269281272
678607810,fgumm1z,91870.76,658,checking,345638512
348979780,wradsdalefi,92114.71,815,checking,271206242
741005776,lwhitcombgh,92120.58,692,savings,398262970
800157069,iselbiebl,92480.77,214,checking,78348493
704944994,obouchard5o,92584.43,429,checking,367525185
303055792,pwhitworth9i,92634.16,214,money market,286476928
193662965,gknevettem,92944.57,692,savings,251030510
656084980,pleftlyi7,93199.04,827,checking,76255730
219994073,ddamiic,93209.67,608,checking,368985647
606993197,ckristofkb,93720.5,429,checking,3067593
424327722,fspringallej,94497.34,239,savings,155691610
356068040,tdelafonteb,95320.51,815,checking,219070051
812194419,jleivesleyaq,95396.51,608,checking,123167586
574087389,jweighcb,95397.74,530,savings,358237472
680944373,gkillingworthe2,96063.92,778,savings,348481717
607326815,adinehartg1,96163.7,104,savings,6119212
471681376,abelch9k,96241.57,799,savings,12765466
135048831,rswansonha,97185.56,658,checking,413511954
411724938,bhattamdl,97525.01,949,savings,38797263
983896575,sthirskkf,97666.11,104,savings,388242261
809585628,jenriquez8b,99812.14,692,savings,56081018
482258274,kmussolini40,101034.16,903,checking,410370028
381069201,fmayorg8,102696.4,560,checking,272017513
971654167,amassowqu,103558.53,815,savings,285346229
369191673,aohanlon2z,104108.13,692,checking,212837710
198091923,cscaddenp8,104362.67,239,checking,111406564
737275066,mpetschelthi,104713.8,827,checking,73401756
633021841,givchenkol5,105375.79,530,checking,226572527
699146953,ckilfoyleho,105628.7,272,checking,192747655
918914323,ehorsted52,105649.23,844,checking,66326017
881348578,bloade5j,105753.2,272,checking,423202941
242144040,ptrippp3,106261.84,530,checking,306890083
624273471,lbreslauerbx,106262.87,975,checking,66889469
579136792,pmumby2e,106927.67,849,savings,187457113
700478133,griddioughl7,107535.68,827,checking,197791849
195371152,tyarrowj7,108159.56,429,savings,8114022
792841991,kbeiderbecke64,108439.04,291,checking,318511535
902225900,aglantonfl,108544.16,530,savings,236035892
729326282,gaxlebyey,108605.54,827,savings,241206721
719723957,mreveleybk,108900.94,291,savings,398262970
354024174,ijouhangr,109274.73,530,savings,20786963
266473590,gebleinku,111433.29,799,checking,21258063
505267380,bgarberlb,111815.15,560,checking,276114073
107100745,rquibell6w,113717.8,291,savings,345638512
274235223,acossingtona2,116662.3,849,checking,94752623
275209037,idibdaleqc,118330.6,778,savings,289116293
827000652,larnhold7j,118787.08,151,money market,354318471
373550124,rstillertoh,118860.52,902,checking,397382677
558013533,jkiellorc7,119997.74,949,savings,345741006
988837895,achampionnetko,120085.59,272,checking,45561839
407587426,dkleynermanse,120694.93,692,checking,82516191
599927211,cwickrath66,121741.82,429,savings,90878017
259640360,owilshirefy,122661.99,949,checking,97475868
959979994,awyley9y,124120.01,902,savings,170216381
185112659,dcecin2,124458.45,849,savings,133708995
420934236,rferraiac,124842.32,902,savings,180139236
540724249,xgideon2f,124937.89,778,checking,242432930
120706646,sbraybrooks57,125296.56,902,checking,167303805
562491362,cmcnamee3u,125328.54,815,savings,21258063
772395265,spieronif9,125557.07,429,savings,180139236
103514437,acoyne78,125777.4,239,savings,10398862
550937547,cantoniettidq,126503.56,272,checking,387771285
833062814,ffanshawdd,127239.16,778,checking,61048672
305024777,kjovicicnp,127870.09,530,checking,232655403
790608537,nallbutjr,128399.15,500,checking,122732863
262442742,jgask3d,128830.78,658,certificate of deposit,72913812
248867132,cparadiseil,129427.01,330,savings,285989505
770132656,miliffe3t,130219.58,902,money market,79296148
343574753,bgarrandhn,131748.81,975,savings,398851659
208445405,mannetscx,131811.74,658,checking,115476193
603347680,amattsson4u,132217.85,692,savings,199938376
824982190,nivanyukov4p,132264.33,903,checking,343398363
130300607,tharbidgeq1,133780.46,291,savings,327054894
615089829,aqueenls,134019.98,844,savings,148247049
817105969,kattyeo2s,134248.14,272,savings,53379671
701118486,amadelincm,135965.55,291,savings,86448261
908483576,cgiraudy7q,136005.44,849,checking,118840694
702972349,efrentzr,136021.72,844,checking,336108332
336510685,nhakenhc,136039.81,949,checking,115073299
826034756,hbeautymane6,136248.79,608,checking,62202798
207494574,rkoschekad,136584.6,658,checking,386667050
263907931,ypaolottojf,137444.18,949,savings,175236047
667802352,spraton4k,137865.25,844,savings,291801050
629399875,ccrippill49,137874.8,214,savings,151473549
321113048,vwotherspoon4n,138314.78,330,savings,425870848
495005568,mheadrickie,138370.27,406,savings,239455541
377397857,uschulkenc6,139713.96,778,checking,245856088
908981193,cwarrackob,139968.81,815,savings,250540516
428732249,pdougande,140370.74,949,savings,238922273
883546654,tyanovdc,140589.55,849,savings,311865311
973534464,wdenyagin21,140689.46,903,savings,278601973
883575358,ftumpaneb,140782.37,214,savings,191779985
761464221,dfellosau,141583.28,949,savings,329500215
776439905,wlascellns,142093.44,902,savings,41732114
501205328,akarleman83,143542.64,975,checking,28031958
446191540,kbessantpk,143567.97,608,checking,360870887
671285225,btointonna,143758.66,827,checking,88315574
114120075,bfillisi,143915.06,799,checking,78640514
188283599,egriefgf,144146.76,844,checking,318649744
316204020,ctomblings3v,144446.5,844,money market,310959442
384286830,rmacelharge7g,144639.34,406,savings,399586985
853417830,bledrun79,144730.28,560,checking,250376367
589880757,rdunnawayhh,145371.32,330,savings,48856897
541242269,chisemangz,145480.31,272,checking,268497108
654167002,mzuponegc,145535.93,778,savings,175012328
449244830,klanbertoni78,146387.85,330,checking,176859115
561776470,krusleno0,146916.85,291,checking,120483421
593928875,kfrugierr8,147047.11,291,savings,206893753
188635634,snorledge6w,147405.54,799,money market,251700538
987238032,dtregaskisf4,147515.12,330,checking,293934975
179690562,tlingerc4,148226.72,799,savings,402985753
891464013,gvalancegv,148309.58,799,savings,148247049
703248536,raddlestonejl,148687.06,214,checking,110667400
952693329,dfaichcb,148733.95,949,checking,112478530
308246578,lstreatfeildi0,148914.14,778,savings,339831946
478404907,twandreyj9,148956.23,530,savings,218239812
900010862,lwetherburn8m,149374.25,330,savings,10038423
395869565,iemmittnh,150010.64,608,checking,290237955
109949778,rharrisso5,150430.7,151,savings,258497657
884385457,lwhitesel1c,151192.31,827,savings,368985647
673536024,gphillis2l,151624.44,330,checking,55899001
981816912,wwivellhk,152137.85,799,checking,392155686
525341742,pdottridge29,152262.97,500,savings,218239812
234666204,wskeleton5e,152926.63,902,checking,102286290
641702359,omacalisterk6,153411.18,272,savings,146191536
650201567,aadamczykjd,154101.34,658,checking,199511940
423188289,emerrick93,154354.84,330,savings,221514637
498452712,trestallls,155052.44,844,savings,201575580
588293868,fogiany4z,155266.87,778,savings,327769219
822685883,tburrassbx,155441.91,104,savings,271672396
626252993,kdurward5a,155890.73,104,checking,397872765
513882378,ariallex,156041.32,330,savings,337950146
988597227,ashilstonek3,157742.11,239,checking,258221582
645853325,ekayzerg3,158207.53,291,checking,407041708
853035792,bdomineynb,158461.18,902,checking,197746588
780531774,dpostenkw,158693.66,151,savings,277376179
282353530,dpeplawdj,159592.6,330,money market,10038423
178168238,lbenzies83,161244.46,291,savings,290313653
990606302,hblaiklockk8,161253.58,903,savings,362776267
552858771,qgravenall7d,161268.31,560,savings,90743582
782264677,ashipcz,162284.44,104,checking,316510562
983924414,csimeonovk,162989.85,151,checking,309452161
415163186,rgodlip4o,163080.58,827,checking,161190597
698194532,nbarnwellky,163977.08,500,savings,102471945
342798968,scharopen8v,164344.26,903,savings,86752190
162876494,tmchardyg5,164888.9,429,checking,221122532
141673530,rlomax7a,165241.91,975,money market,170807634
526641187,mcuttell6t,166783.94,272,checking,227656546
572629540,jkalkerbj,166814.91,500,savings,228460059
588213814,ljimpsonnj,166845.04,849,checking,123805393
836842789,pmerwemd,166904.35,849,savings,104105997
567019440,slerwelllr,166916.55,815,savings,384996828
810727976,kclaigehs,167132.72,815,savings,245539362
868751569,dedelheidoe,167191.45,530,checking,4891034
839788731,iindrucheh,168113.75,903,savings,157665057
523015368,dheintschf3,168310.07,975,money market,11578716
634690006,bparresgn,168360.16,560,savings,373497357
664577080,bdunrigeop,168371.86,291,savings,43077691
688450904,ahuckep8,168993.4,239,savings,331758699
829986173,aspositor9,169216.17,214,checking,73034235
554595557,ngarcic,170159.21,429,checking,188762853
233632203,dcaven19,170967.72,902,checking,147487013
750149771,dcorriemp,171016.05,560,savings,284563205
293123655,mwilacotkm,171361.09,560,checking,122939271
974456111,lpfeufferfg,171952.02,778,checking,45155762
241926332,tnobesoo,172302.68,903,savings,290795991
994598550,mscneiderfe,172806.7,291,savings,3067593
586274962,sballinox,173543.68,849,checking,295923871
587821965,echarkerg,175581.72,214,savings,201167158
823324665,horteauoq,175591.37,214,checking,206001493
292375241,bpurchasenh,175647.08,608,checking,256818916
869098574,llankesterr4,175843.42,844,savings,377577704
386555810,nbabbdp,176009.87,530,checking,184652837
504140004,cdodwellrd,176658.67,975,checking,389312931
927237107,dsingletone0,177506.66,291,checking,58095797
196877055,fmanceo4,178773.09,692,checking,210288018
348316755,dmerrikinlc,178843.86,975,money market,389291066
849203395,kinggalle1,180641.4,214,savings,379414199
696976874,djersonff,181046.22,849,savings,92151829
188219009,tdabbescc,181506.43,330,savings,248393806
914676675,ljankowskil8,182114.71,902,checking,286133830
553873398,psoffe4v,182479.15,151,checking,256952050
196288782,dellsonaf,182772.56,560,savings,94183243
808424320,screekki,183147.01,827,savings,300777113
550955247,nletchfordm4,183289.6,903,checking,331373015
251592105,mflandersg0,183487.44,272,savings,16392986
780407180,tmckeonqb,183692.32,902,savings,296615844
460089158,bmassimi24,184023.22,429,savings,43381524
404055491,tkimmitthz,184589.82,658,savings,356375153
253220691,kmacdiarmidew,185490.51,530,checking,88875535
349693842,wklazenga2p,185673.77,239,savings,144014347
479725044,bvannikovre,186450.19,608,checking,363788011
130631188,bchilcottej5,186485.66,949,checking,412027258
681720727,codeoran5p,186553.51,799,savings,284563205
368008088,mfinkq5,187020.27,429,savings,162306527
717882655,scristofalojh,187413.72,844,checking,386642244
622651435,pdillestoney,187433.87,239,savings,361042139
259542591,ialtonb5,187632.75,949,savings,312960450
629885345,cproctorjb,187928.41,827,savings,206020912
792117829,kmuscroftdw,188164.34,799,money market,20018711
116940531,mesherwoodft,188416.44,330,savings,308927917
622568541,lmarchmentl4,188880.67,104,checking,128774096
336309968,cmintoffo1,189222.61,214,savings,123805624
589666050,wdive60,189606.69,975,checking,161995495
834581241,ioglescf,190103.05,658,savings,212811
547766663,mclaasenea,190130.55,902,checking,323026280
438416911,kbindonj9,190457.75,692,savings,390343053
966563426,jmcguirk5e,190622.45,903,checking,324507200
726070760,mboffin24,190982.92,406,checking,232308442
648898094,rsergisonp5,191070.55,827,checking,354797092
942557757,ldantonib6,191791,815,checking,215468041
573935058,igoing7o,192347.67,608,savings,428143512
976973202,vwhitehornehg,193947.45,903,checking,169658612
957014554,fwillcotaj,194393.38,903,checking,45155762
954716845,sfraschinika,195674.66,214,savings,105719969
183525236,eraddin9m,195952.69,902,savings,255767319
459854720,icrassgj,196025.81,827,money market,180721395
637393652,jpabelikib,197180.18,560,savings,170068647
405432060,btrevaskus27,198276.1,214,checking,415349069
860941039,shudlestone5,198354.43,151,savings,320219229
708448624,jnaismithma,198672.99,151,checking,6068967
350564765,sbowermano2,198794.54,429,checking,412027258
286532656,nmeaked9,198903.79,406,savings,33413563
900670549,bproudleyam,199762.43,429,checking,400347865
194159886,lmcjuryh7,200198.25,330,savings,310429227
433799643,jsurmeyerja,200418.37,151,checking,314690901
282211061,dbrewettcm,200989.59,291,checking,425230108
922161746,wmcnirlan3p,202305.63,104,savings,14428001
111030777,sakramhj,202586.88,902,savings,86448261
921742453,nfewster2t,203845.5,406,checking,64389112
174354380,bbernlihc,204027.13,560,checking,133340964
370826699,sbaterhd,205911.1,815,money market,210517559
271227674,mheinzeldg,205985.73,844,savings,50814820
874179141,aconklinqk,206399.09,902,savings,237404638
378416725,hbasnallh8,206826.55,608,checking,358237472
459068692,efiennesqm,206904.93,799,savings,119465679
424730282,cbriarsgd,207260.13,949,checking,350851745
183235567,cseeviour1m,207918.33,151,savings,99634243
573597142,broskellnr,209926.4,827,savings,376401489
545078010,tupston5h,210476.06,560,checking,363788011
296588083,dfattorioi,211123.19,658,savings,412349904
288880265,wrickfordc9,211361.14,849,checking,291761569
783762132,gmaben3i,211567.86,903,checking,300777113
563800461,bbrockhurst9t,211576.27,903,checking,133813280
643106458,nstonehouseag,211587.9,975,money market,221976940
846447816,abaystoniy,213414.09,799,savings,253244519
283065979,pmemmoryda,214033.62,903,savings,76255730
880620297,rcoldwell44,214248.5,975,checking,327054894
859701754,haymeric38,214676.97,104,checking,41242223
771684021,atathacott80,215465.49,272,checking,313052460
347435621,mfirmin6x,215515.02,692,checking,183503887
858056542,rbugdallev,215667.82,608,checking,425052702
523277866,yoldacres8o,216436.01,902,savings,405685961
720545131,rpeasegoodmh,216611.8,844,savings,363788011
719501341,amugfordv,216884.53,827,savings,239470343
221288777,bgonninny,217153.03,406,checking,278601973
137867604,bbaitsonmx,218649.9,799,savings,418511762
726892365,lblampiedca,218753.88,104,checking,118684018
985733146,mkezourecnn,219376.97,844,savings,237480725
148700177,ahoffmannii,219529.88,844,checking,209052663
778801819,sjzakcg,219828.1,239,savings,158200226
950011382,zyerbyd5,220413.71,214,savings,388582154
855660094,johagirtien4,222276.09,949,checking,417062657
270619588,rbygreavese1,223073.01,849,checking,402889397
452603126,nferrarettorl,223400.73,104,checking,367525185
397799695,swetherickq7,224363.14,692,checking,53187249
215302735,etracyk8,225083.03,903,checking,354797092
413478693,welman4e,225367.66,608,savings,296615844
752876095,kmarten9z,225540.23,151,money market,88875535
564200024,cvanthoog47,225727.11,903,checking,197791849
439164817,calves7f,226851.87,214,certificate of deposit,12867779
401786339,cwaelandkf,227175.57,104,checking,157193363
395601349,rcatheryed,227488.94,560,checking,396561754
891784548,dweirp4,227940.28,330,checking,158229255
970334231,csalmondrm,228005.48,530,savings,284563205
837580258,jnewall4r,228488.16,239,checking,384996828
189086629,abrownseygg,229125.9,104,savings,142654425
151022847,rhardij2,229292.5,272,checking,320219229
669882878,lwoodroffeer,230294.29,778,checking,371152095
877293691,bpevieoc,230763.44,844,checking,347852719
679950396,svance7k,231651.03,429,savings,308088227
792779542,etavernerll,231732.91,151,checking,53689804
484417612,qcrankf6,231991.1,902,checking,258221582
497387386,dwitham16,234066.17,429,savings,301369362
995272119,jvannikovcd,234072.14,827,checking,191568849
884079556,lmutter8f,234910.51,849,savings,311865311
743004278,lknok3r,235410.29,849,checking,177632145
480837357,bstuchberryqw,235492.14,692,savings,76873399
472558600,bpirozzini,236548.93,500,savings,285989505
853808909,avedekhovk4,237012.22,560,money market,56918
696788896,cchesshire4j,238191.23,658,checking,268569231
350262328,clippois,238422.83,844,savings,397011053
806284209,cmizzi8k,238816.81,902,savings,213427147
110650941,gdanaherr4,239079.08,975,checking,44446516
734122714,rradnagelx,239490.58,902,checking,50039016
564379076,hbriztman8l,241337.7,658,savings,74636810
373332271,apurvissi3,242166.18,844,checking,31413444
229742300,abullerwell97,242257.55,330,certificate of deposit,27294896
648145996,bpriestmando,242432.71,560,savings,8124297
561456770,irushforthnd,242561.43,239,savings,412162037
676712722,ndanne5l,242800.42,903,savings,40138604
207520531,mmarham6q,243409.93,239,checking,146213487
873357922,ddonettih,243761.81,815,certificate of deposit,353960420
724551469,crahlc3,243798.61,608,savings,146959696
959524052,hferraroj8,243842.69,104,checking,258497657
801608686,waucottcu,244482.55,330,savings,77134600
256390477,bbuxsey4b,244714.64,949,checking,283210834
309790473,riacominifn,244999.33,827,savings,123167586
300765524,mjoyson9n,245115.32,658,checking,248305647
469168040,iscrauniageng,245380.22,272,savings,333174387
